root_id,label,name,nt_type,flow,super_class,class,sub_class,cell_type,hemilineage,nerve,connectivity_tag,side,input_synapses,output_synapses
720575940631703608,[],GNG.366,ACH,intrinsic,central,,,['CB0872'],putative_primary,,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'; 'rich_club'; 'attractor'],left,3068,1376
720575940632047890,['unclassified_IN_FW_351'],GNG.168,ACH,intrinsic,central,,,['CB0393'],putative_primary,,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'; 'rich_club'; 'attractor'],left,4058,1406
720575940632293346,[],GNG.2039,ACH,afferent,sensory,gustatory,low-salt,['LB2'],,MxLbN,['3_cycle_participant'; 'feedforward_loop_participant'; 'highly_reciprocal_neuron'; 'reciprocal'],left,215,412
720575940632425919,['Sugar Gustatory Receptor Neuron (GRN); See Engert et al. 2022 and Shiu; Sterne et al.; 2022; https://doi.org/10.7554/eLife.78110 and https://doi.org/10.7554/eLife.79887'; 'gustatory receptor neuron/GRN?'],GNG.1551,ACH,afferent,sensory,gustatory,sugar/water,['LB3'],,MxLbN,['feedforward_loop_participant'; 'reciprocal'; 'rich_club'],left,258,421
720575940632648612,['Second-order gustatory neuron Usnea (Sterne et al.; 10.7554/eLife.71679; Shiu; Sterne et al.; 2022; https://doi.org/10.1101/2022.03.06.483180)'; 'SEZ interneuron closely matching GRN arbors'],GNG.174,GABA,intrinsic,central,,,['CB0008'],putative_primary,,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'; 'rich_club'; 'repeller'],left,660,1616
720575940632648868,['Clavicle; Second-order taste neuron; Shiu; Sterne et al.; 2022 eLife; https://doi.org/10.7554/eLife.79887'],GNG.548,ACH,afferent,ascending,AN,,[],,CV,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'; 'rich_club'],right,829,791
720575940632877869,['Fudog (Sterne et al.; 10.7554/eLife.71679; Shiu; Sterne et al.; 2022; https://doi.org/10.1101/2022.03.06.483180)'; 'DNg'],GNG.1054,ACH,efferent,descending,,,['DNg67'],putative_primary,CV,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'; 'rich_club'],right,279,597
720575940632889389,['Sugar Gustatory Receptor Neuron (GRN); See Engert et al.; 2022 https://doi.org/10.7554/eLife.78110'; 'gustatory receptor neuron/GRN?'],GNG.2300,ACH,afferent,sensory,gustatory,sugar/water,['LB3'],,MxLbN,['feedforward_loop_participant'; 'reciprocal'],left,89,95
720575940633277209,[],GNG.292,GABA,intrinsic,central,,,['CB0118'],putative_primary,,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'; 'rich_club'; 'attractor'; 'repeller'],right,1343,1859
720575940635179871,['DNg'],GNG.117,GABA,efferent,descending,,,['DNg103'],putative_primary,CV,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'; 'rich_club'; 'repeller'],left,1453,1670
720575940636675214,['Second-order gustatory neuron FMIN (Sterne et al.; 10.7554/eLife.71679; Shiu; Sterne et al.; 2022 https://doi.org/10.1101/2022.03.06.483180)'],GNG.675,ACH,intrinsic,central,,,['CB0366'],putative_primary,,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'; 'rich_club'; 'attractor'],right,1019,803
720575940637568838,['Sugar Gustatory Receptor Neuron (GRN); See Engert et al. 2022 and Shiu; Sterne et al.; 2022; https://doi.org/10.7554/eLife.78110 and https://doi.org/10.7554/eLife.79887'; 'gustatory receptor neuron/GRN?'],GNG.1992,ACH,afferent,sensory,gustatory,sugar/water,['LB3'],,MxLbN,['feedforward_loop_participant'; 'reciprocal'],left,107,145
720575940637763135,['Second-order gustatory neuron Phantom; Sterne et al.; 2021 10.7554/eLife.71679; Shiu; Sterne et al.; 2022'],GNG.955,GABA,intrinsic,central,,,['CB0062'],putative_primary,,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'; 'rich_club'; 'repeller'],right,332,927
720575940637790527,[],GNG.SLP.19,ACH,intrinsic,central,,,['CB0130'],putative_primary,,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'; 'rich_club'],left,586,521
720575940638103349,['Second-order gustatory neuron Rattle; See Sterne et al.; 2021 10.7554/eLife.71679; Shiu; Sterne et al.; 2022; See https://splitgal4.janelia.org/cgi-bin/view_splitgal4_imagery.cgi?line=SS50091#'; 'unclassified_IN_FW_494'; 'SEZ-LN2; second order taste peg neuron (new cell type named in ongoing Ribeiro lab project)'; 'Rattle'],GNG.286,ACH,intrinsic,central,,,['CB0499'],putative_primary,,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'; 'rich_club'; 'attractor'],left,2096,1395
720575940638183652,[],GNG.1578,ACH,afferent,sensory,gustatory,sugar/water,['LB3'],,MxLbN,['feedforward_loop_participant'; 'reciprocal'; 'rich_club'; 'repeller'],left,222,624
720575940638202345,['labial GRN'; 'Sugar Gustatory Receptor Neuron (GRN); See Engert et al.; 2022 https://doi.org/10.7554/eLife.78110'],GNG.1673,ACH,afferent,sensory,gustatory,sugar/water,['LB3'],,MxLbN,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'; 'repeller'],left,133,265
720575940639198653,['Sugar Gustatory Receptor Neuron (GRN); See Engert et al.; 2022 https://doi.org/10.7554/eLife.78110'],GNG.1391,ACH,afferent,sensory,gustatory,sugar/water,['LB3'],,MxLbN,['feedforward_loop_participant'; 'reciprocal'; 'rich_club'; 'repeller'],left,252,620
720575940639259967,['Sugar Gustatory Receptor Neuron (GRN); See Engert et al. 2022 and Shiu; Sterne et al.; 2022; https://doi.org/10.7554/eLife.78110 and https://doi.org/10.7554/eLife.79887'],GNG.1495,ACH,afferent,sensory,gustatory,sugar/water,['LB3'],,MxLbN,[],left,212,452
720575940639274147,[],GNG.774,ACH,intrinsic,central,,,['CB0407'],putative_primary,,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'; 'rich_club'],left,970,756
